date,confirmed
2021.11.06,19.0
2021.11.07,31.0
2021.11.08,50.0
2021.11.09,50.0
2021.11.10,50.0
2021.11.11,50.0
2021.11.12,50.0
2021.11.13,50.0
2021.11.14,50.0
2021.11.15,60.0
2021.11.16,79.0
2021.11.17,118.0
2021.11.18,160.0
2021.11.19,192.0
2021.11.20,223.0
2021.11.21,251.0
2021.11.22,288.0
2021.11.23,316.0
2021.11.24,380.0
2021.11.25,418.0
2021.11.26,470.0
2021.11.27,518.0
2021.11.28,569.0
2021.11.29,622.0
2021.11.30,654.0
2021.12.01,715.0
2021.12.02,763.0
2021.12.03,831.0
2021.12.04,890.0
2021.12.05,967.0
