,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
0,2021-11-22 09:03:29.196,16,6406,검역,隔離區,Lazaretto,7,6244,146,0,7,-,13442,2021년 11월 22일 00시,null
1,2021-11-22 09:03:29.195,9,3464,제주,济州,Jeju,17,3231,224,17,0,513,13441,2021년 11월 22일 00시,null
2,2021-11-22 09:03:29.195,48,14367,경남,庆南,Gyeongsangnam-do,65,13484,835,63,2,430,13440,2021년 11월 22일 00시,null
3,2021-11-22 09:03:29.195,100,10604,경북,庆北,Gyeongsangbuk-do,39,10078,426,39,0,402,13439,2021년 11월 22일 00시,null
4,2021-11-22 09:03:29.195,25,4142,전남,全南,Jeollanam-do,27,3745,372,25,2,224,13438,2021년 11월 22일 00시,null
5,2021-11-22 09:03:29.194,70,5981,전북,全北,Jeollabuk-do,34,5450,461,34,0,332,13437,2021년 11월 22일 00시,null
6,2021-11-22 09:03:29.194,75,12032,충남,忠南,Chungcheongnam-do,47,11180,777,47,0,567,13436,2021년 11월 22일 00시,null
7,2021-11-22 09:03:29.194,89,8565,충북,忠北,Chungcheongbuk-do,26,8216,260,26,0,535,13435,2021년 11월 22일 00시,null
8,2021-11-22 09:03:29.193,70,8073,강원,江原,Gangwon-do,55,7443,560,55,0,523,13434,2021년 11월 22일 00시,null
9,2021-11-22 09:03:29.193,1082,125278,경기,京畿,Gyeonggi-do,820,112624,11572,817,3,933,13433,2021년 11월 22일 00시,null
10,2021-11-22 09:03:29.193,2,1457,세종,世宗,Sejong,5,1393,62,5,0,409,13432,2021년 11월 22일 00시,null
11,2021-11-22 09:03:29.193,57,5580,울산,蔚山,Ulsan,10,5450,73,10,0,491,13431,2021년 11월 22일 00시,null
12,2021-11-22 09:03:29.192,56,8165,대전,大田,Daejeon,36,7712,397,36,0,558,13430,2021년 11월 22일 00시,null
13,2021-11-22 09:03:29.192,30,5918,광주,光州,Gwangju,57,5539,349,57,0,408,13429,2021년 11월 22일 00시,null
14,2021-11-22 09:03:29.192,129,22767,인천,仁川,Incheon,161,20327,2311,159,2,774,13428,2021년 11월 22일 00시,null
15,2021-11-22 09:03:29.192,302,18298,대구,大邱,Daegu,53,17370,626,53,0,757,13427,2021년 11월 22일 00시,null
16,2021-11-22 09:03:29.191,178,15407,부산,釜山,Busan,90,14289,940,89,1,454,13426,2021년 11월 22일 00시,null
17,2021-11-22 09:03:29.191,960,141748,서울,首尔,Seoul,1278,122931,17857,1274,4,1466,13425,2021년 11월 22일 00시,null
18,2021-11-22 09:03:29.191,3298,418252,합계,合计,Total,2827,376706,38248,2806,21,807,13424,2021년 11월 22일 00시,null
19,2021-11-21 09:06:03.3,16,6399,검역,隔離區,Lazaretto,5,6244,139,0,5,-,13423,2021년 11월 21일 00시,null
20,2021-11-21 09:06:03.3,9,3447,제주,济州,Jeju,15,3214,224,15,0,510.943,13422,2021년 11월 21일 00시,null
21,2021-11-21 09:06:03.3,47,14302,경남,庆南,Gyeongsangnam-do,76,13436,819,76,0,428.176,13421,2021년 11월 21일 00시,null
22,2021-11-21 09:06:03.3,100,10565,경북,庆北,Gyeongsangbuk-do,26,10052,413,25,1,400.277,13420,2021년 11월 21일 00시,null
23,2021-11-21 09:06:03.3,25,4115,전남,全南,Jeollanam-do,38,3730,360,37,1,222.246,13419,2021년 11월 21일 00시,null
24,2021-11-21 09:06:03.299,70,5947,전북,全北,Jeollabuk-do,41,5402,475,40,1,329.637,13418,2021년 11월 21일 00시,null
25,2021-11-21 09:06:03.299,75,11985,충남,忠南,Chungcheongnam-do,47,11150,760,47,0,565.056,13417,2021년 11월 21일 00시,null
26,2021-11-21 09:06:03.299,89,8539,충북,忠北,Chungcheongbuk-do,20,8202,248,20,0,533.408,13416,2021년 11월 21일 00시,null
27,2021-11-21 09:06:03.299,69,8018,강원,江原,Gangwon-do,75,7417,532,75,0,519.691,13415,2021년 11월 21일 00시,null
28,2021-11-21 09:06:03.299,1072,124458,경기,京畿,Gyeonggi-do,992,112433,10953,988,4,926.922,13414,2021년 11월 21일 00시,null
29,2021-11-21 09:06:03.298,2,1452,세종,世宗,Sejong,7,1387,63,7,0,408.059,13413,2021년 11월 21일 00시,null
30,2021-11-21 09:06:03.298,57,5570,울산,蔚山,Ulsan,9,5448,65,9,0,490.31,13412,2021년 11월 21일 00시,null
31,2021-11-21 09:06:03.298,56,8129,대전,大田,Daejeon,43,7698,375,43,0,555.304,13411,2021년 11월 21일 00시,null
32,2021-11-21 09:06:03.298,30,5861,광주,光州,Gwangju,70,5525,306,70,0,404.19,13410,2021년 11월 21일 00시,null
33,2021-11-21 09:06:03.297,127,22606,인천,仁川,Incheon,206,20269,2210,203,3,768.173,13409,2021년 11월 21일 00시,null
34,2021-11-21 09:06:03.297,300,18245,대구,大邱,Daegu,44,17326,619,42,2,754.441,13408,2021년 11월 21일 00시,null
35,2021-11-21 09:06:03.297,178,15317,부산,釜山,Busan,86,14223,916,86,0,451.57,13407,2021년 11월 21일 00시,null
36,2021-11-21 09:06:03.297,952,140470,서울,首尔,Seoul,1320,122599,16919,1315,5,1452.868,13406,2021년 11월 21일 00시,null
37,2021-11-21 09:06:03.296,3274,415425,합계,合计,Total,3120,375755,36396,3098,22,801.53,13405,2021년 11월 21일 00시,null
38,2021-11-20 08:51:46.4,16,6394,검역,隔離區,Lazaretto,6,6244,134,0,6,-,13404,2021년 11월 20일 00시,null
39,2021-11-20 08:51:46.4,9,3432,제주,济州,Jeju,23,3201,222,23,0,509,13403,2021년 11월 20일 00시,null
40,2021-11-20 08:51:46.4,47,14226,경남,庆南,Gyeongsangnam-do,79,13384,795,79,0,426,13402,2021년 11월 20일 00시,null
41,2021-11-20 08:51:46.4,100,10539,경북,庆北,Gyeongsangbuk-do,35,10014,425,35,0,399,13401,2021년 11월 20일 00시,null
42,2021-11-20 08:51:46.399,25,4077,전남,全南,Jeollanam-do,66,3714,338,66,0,220,13400,2021년 11월 20일 00시,null
43,2021-11-20 08:51:46.399,70,5908,전북,全北,Jeollabuk-do,32,5368,470,32,0,327,13399,2021년 11월 20일 00시,null
44,2021-11-20 08:51:46.399,74,11938,충남,忠南,Chungcheongnam-do,74,11119,745,73,1,563,13398,2021년 11월 20일 00시,null
45,2021-11-20 08:51:46.399,89,8519,충북,忠北,Chungcheongbuk-do,34,8172,258,34,0,532,13397,2021년 11월 20일 00시,null
46,2021-11-20 08:51:46.399,69,7943,강원,江原,Gangwon-do,59,7396,478,59,0,515,13396,2021년 11월 20일 00시,null
47,2021-11-20 08:51:46.398,1061,123466,경기,京畿,Gyeonggi-do,993,112206,10199,988,5,920,13395,2021년 11월 20일 00시,null
48,2021-11-20 08:51:46.398,2,1445,세종,世宗,Sejong,7,1382,61,7,0,406,13394,2021년 11월 20일 00시,null
49,2021-11-20 08:51:46.398,57,5561,울산,蔚山,Ulsan,5,5433,71,5,0,490,13393,2021년 11월 20일 00시,null
50,2021-11-20 08:51:46.398,56,8086,대전,大田,Daejeon,32,7676,354,32,0,552,13392,2021년 11월 20일 00시,null
51,2021-11-20 08:51:46.398,29,5791,광주,光州,Gwangju,39,5506,256,39,0,399,13391,2021년 11월 20일 00시,null
52,2021-11-20 08:51:46.397,126,22400,인천,仁川,Incheon,204,20207,2067,204,0,761,13390,2021년 11월 20일 00시,null
53,2021-11-20 08:51:46.397,296,18201,대구,大邱,Daegu,61,17284,621,61,0,753,13389,2021년 11월 20일 00시,null
54,2021-11-20 08:51:46.397,177,15231,부산,釜山,Busan,86,14162,892,85,1,449,13388,2021년 11월 20일 00시,null
55,2021-11-20 08:51:46.397,941,139154,서울,首尔,Seoul,1377,121915,16298,1372,5,1439,13387,2021년 11월 20일 00시,null
56,2021-11-20 08:51:46.396,3244,412311,합계,合计,Total,3212,374383,34684,3194,18,796,13386,2021년 11월 20일 00시,null
57,2021-11-19 08:55:12.68,16,6388,검역,隔離區,Lazaretto,12,6236,136,0,12,-,13385,2021년 11월 19일 00시,null
58,2021-11-19 08:55:12.68,9,3409,제주,济州,Jeju,31,3190,210,31,0,505,13384,2021년 11월 19일 00시,null
59,2021-11-19 08:55:12.68,47,14147,경남,庆南,Gyeongsangnam-do,78,13274,826,78,0,424,13383,2021년 11월 19일 00시,null
60,2021-11-19 08:55:12.68,100,10504,경북,庆北,Gyeongsangbuk-do,49,9951,453,49,0,398,13382,2021년 11월 19일 00시,null
61,2021-11-19 08:55:12.68,25,4011,전남,全南,Jeollanam-do,46,3705,281,46,0,217,13381,2021년 11월 19일 00시,null
62,2021-11-19 08:55:12.679,70,5876,전북,全北,Jeollabuk-do,24,5340,466,24,0,326,13380,2021년 11월 19일 00시,null
63,2021-11-19 08:55:12.679,73,11864,충남,忠南,Chungcheongnam-do,56,10914,877,56,0,559,13379,2021년 11월 19일 00시,null
64,2021-11-19 08:55:12.679,88,8485,충북,忠北,Chungcheongbuk-do,20,8113,284,20,0,530,13378,2021년 11월 19일 00시,null
65,2021-11-19 08:55:12.679,68,7884,강원,江原,Gangwon-do,72,7362,454,72,0,511,13377,2021년 11월 19일 00시,null
66,2021-11-19 08:55:12.678,1054,122473,경기,京畿,Gyeonggi-do,849,109039,12380,844,5,912,13376,2021년 11월 19일 00시,null
67,2021-11-19 08:55:12.678,2,1438,세종,世宗,Sejong,3,1380,56,3,0,404,13375,2021년 11월 19일 00시,null
68,2021-11-19 08:55:12.678,57,5556,울산,蔚山,Ulsan,4,5424,75,4,0,489,13374,2021년 11월 19일 00시,null
69,2021-11-19 08:55:12.678,56,8054,대전,大田,Daejeon,53,7628,370,53,0,550,13373,2021년 11월 19일 00시,null
70,2021-11-19 08:55:12.678,29,5752,광주,光州,Gwangju,24,5493,230,24,0,397,13372,2021년 11월 19일 00시,null
71,2021-11-19 08:55:12.677,125,22196,인천,仁川,Incheon,188,19646,2425,187,1,754,13371,2021년 11월 19일 00시,null
72,2021-11-19 08:55:12.677,295,18140,대구,大邱,Daegu,47,17236,609,47,0,750,13370,2021년 11월 19일 00시,null
73,2021-11-19 08:55:12.677,175,15145,부산,釜山,Busan,77,14112,858,76,1,446,13369,2021년 11월 19일 00시,null
74,2021-11-19 08:55:12.677,926,137777,서울,首尔,Seoul,1401,120680,16171,1397,4,1425,13368,2021년 11월 19일 00시,null
75,2021-11-19 08:55:12.676,3215,409099,합계,合计,Total,3034,368723,37161,3011,23,789,13367,2021년 11월 19일 00시,null
76,2021-11-18 08:33:17.725,16,6376,검역,隔離區,Lazaretto,7,6233,127,0,7,-,13366,2021년 11월 18일 00시,null
