,createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
0,2021-12-05 08:47:30.294,16,6495,검역,隔離區,Lazaretto,6,6300,0,6,-,13727,2021년 12월 05일 00시,null
1,2021-12-05 08:47:30.294,9,3820,제주,济州,Jeju,17,3532,16,1,566,13726,2021년 12월 05일 00시,null
2,2021-12-05 08:47:30.294,62,15586,경남,庆南,Gyeongsangnam-do,138,14448,136,2,467,13725,2021년 12월 05일 00시,null
3,2021-12-05 08:47:30.293,111,11742,경북,庆北,Gyeongsangbuk-do,99,10611,98,1,445,13724,2021년 12월 05일 00시,null
4,2021-12-05 08:47:30.293,27,4632,전남,全南,Jeollanam-do,47,4152,47,0,250,13723,2021년 12월 05일 00시,null
5,2021-12-05 08:47:30.293,78,6641,전북,全北,Jeollabuk-do,57,6002,56,1,368,13722,2021년 12월 05일 00시,null
6,2021-12-05 08:47:30.293,84,13637,충남,忠南,Chungcheongnam-do,174,11978,174,0,643,13721,2021년 12월 05일 00시,null
7,2021-12-05 08:47:30.293,95,9177,충북,忠北,Chungcheongbuk-do,82,8559,82,0,573,13720,2021년 12월 05일 00시,null
8,2021-12-05 08:47:30.292,76,9216,강원,江原,Gangwon-do,116,8126,116,0,597,13719,2021년 12월 05일 00시,null
9,2021-12-05 08:47:30.292,1268,141171,경기,京畿,Gyeonggi-do,1485,119818,1484,1,1051,13718,2021년 12월 05일 00시,null
10,2021-12-05 08:47:30.292,3,1619,세종,世宗,Sejong,16,1481,16,0,455,13717,2021년 12월 05일 00시,null
11,2021-12-05 08:47:30.292,57,5718,울산,蔚山,Ulsan,16,5557,16,0,503,13716,2021년 12월 05일 00시,null
12,2021-12-05 08:47:30.291,73,9174,대전,大田,Daejeon,142,8163,141,1,627,13715,2021년 12월 05일 00시,null
13,2021-12-05 08:47:30.291,31,6477,광주,光州,Gwangju,40,6016,40,0,447,13714,2021년 12월 05일 00시,null
14,2021-12-05 08:47:30.291,163,26227,인천,仁川,Incheon,337,22389,336,1,891,13713,2021년 12월 05일 00시,null
15,2021-12-05 08:47:30.291,322,19420,대구,大邱,Daegu,117,18149,117,0,803,13712,2021년 12월 05일 00시,null
16,2021-12-05 08:47:30.291,184,17104,부산,釜山,Busan,207,15256,207,0,504,13711,2021년 12월 05일 00시,null
17,2021-12-05 08:47:30.29,1193,165178,서울,首尔,Seoul,2032,136638,2022,10,1708,13710,2021년 12월 05일 00시,null
18,2021-12-05 08:47:30.29,3852,473034,합계,合计,Total,5128,407175,5104,24,913,13709,2021년 12월 05일 00시,null
19,2021-12-04 09:17:37.919,16,6489,검역,隔離區,Lazaretto,4,6300,0,4,-,13708,2021년 12월 04일 00시,null
20,2021-12-04 09:17:37.919,9,3803,제주,济州,Jeju,21,3497,21,0,564,13707,2021년 12월 04일 00시,null
21,2021-12-04 09:17:37.918,58,15449,경남,庆南,Gyeongsangnam-do,114,14385,114,0,463,13706,2021년 12월 04일 00시,null
22,2021-12-04 09:17:37.918,111,11643,경북,庆北,Gyeongsangbuk-do,90,10519,87,3,441,13705,2021년 12월 04일 00시,null
