date,confirmed,confirmedsum
2021.11.26,60,60.0
2021.11.27,68,128.0
2021.11.28,79,207.0
2021.11.29,45,252.0
2021.11.30,112,364.0
2021.12.01,31,395.0
2021.12.02,101,496.0
2021.12.03,132,628.0
2021.12.04,104,732.0
2021.12.05,83,815.0
2021.12.06,79,894.0
2021.12.07,203,1097.0
2021.12.08,136,1233.0
2021.12.09,0,1233.0
2021.12.10,0,1233.0
2021.12.11,0,1233.0
2021.12.12,0,1233.0
2021.12.13,0,1233.0
2021.12.14,0,1233.0
2021.12.15,0,1233.0
2021.12.16,0,1233.0
2021.12.17,0,1233.0
2021.12.18,0,1233.0
2021.12.19,0,1233.0
2021.12.20,0,1233.0
2021.12.21,112,1345.0
2021.12.22,132,1477.0
2021.12.23,102,1579.0
2021.12.24,0,1579.0
2021.12.25,0,1579.0
