name_Kor,name_Eng
서울,Seoul
서울 종로구,Seoul Jongno-gu
서울 중구,Seoul Jung-gu
서울 용산구,Seoul Yongsan-gu
서울 광진구,Seoul Gwangjin-gu
서울 동대문구,Seoul Dongdaemun-gu
서울 중랑구,Seoul Jungnang-gu
서울 성북구,Seoul Seongbuk-gu
서울 강북구,Seoul Gangbuk-gu
서울 도봉구,Seoul Dobong-gu
서울 노원구,Seoul Nowon-gu
서울 은평구,Seoul Eunpyeong-gu
서울 서대문구,Seoul Seodaemun-gu
서울 마포구,Seoul Mapo-gu
서울 양천구,Seoul Yangcheong-gu
서울 강서구,Seoul Gangseo-gu
서울 구로구,Seoul Guro-gu
서울 금천구,Seoul Geumcheon-gu
서울 영등포구,Seoul Yeongdeungpo-gu
서울 동작구,Seoul Dongjak-gu
서울 관악구,Seoul Gwanak-gu
서울 동작구,Seoul Dongjak-gu
서울 서초구,Seoul Seocho-gu
서울 강남구,Seoul Gangnam-gu
서울 송파구,Seoul Songpa-gu
서울 강동구,Seoul Gangdong-gu
광주,Gwangju
광주 광산구,Gwangju Gwangsan-gu
광주 북구,Gwangju Buk-gu
광주 서구,Gwangju Seo-gu
광주 남구,Gwangju Nam-gu
광주 동구,Gwangju Dong-gu
대구,Daegu
대구 북구,Daegu Buk-gu
대구 동구,Daegu Dong-gu
대구 서구,Daegu Seo-gu
대구 중구,Daegu Jung-gu
대구 남구,Daegu Nam-gu
대구 수성구,Daegu Suseong-gu
대구 달서구,Daegu Dalseo-gu
대구 달성군,Daegu Dalseong-gun
울산,Ulsan
울산 중구,Ulsan Jung-gu
울산 남구,Ulsan Nam-gu
울산 동구,Ulsan Dong-gu
울산 북구,Ulsan Buk-gu
울산 울주군,Ulsan Ulju-gun
경기,Gyeonggi-do
강원,Gangwon-do
충북,Chungcheongbuk-do
충남,Chungcheongnam-do
전북,Jeollabuk-do
전남,Jeollanam-do
경북,Gyeongsangbuk-do
경남,Gyeongsangnam-do
세종,Sejong
제주,Jeju
