name_Kor,name_Eng
서울,Seoul
서울 종로구,Seoul Jongno-gu
서울 중구,Seoul Jung-gu
서울 용산구,Seoul Yongsan-gu
서울 광진구,Seoul Gwangjin-gu
서울 동대문구,Seoul Dongdaemun-gu
서울 중랑구,Seoul Jungnang-gu
서울 성북구,Seoul Seongbuk-gu
서울 강북구,Seoul Gangbuk-gu
서울 도봉구,Seoul Dobong-gu
서울 노원구,Seoul Nowon-gu
서울 은평구,Seoul Eunpyeong-gu
서울 서대문구,Seoul Seodaemun-gu
서울 마포구,Seoul Mapo-gu
서울 양천구,Seoul Yangcheong-gu
서울 강서구,Seoul Gangseo-gu
서울 구로구,Seoul Guro-gu
서울 금천구,Seoul Geumcheon-gu
서울 영등포구,Seoul Yeongdeungpo-gu
서울 동작구,Seoul Dongjak-gu
서울 관악구,Seoul Gwanak-gu
서울 동작구,Seoul Dongjak-gu
서울 서초구,Seoul Seocho-gu
서울 강남구,Seoul Gangnam-gu
서울 송파구,Seoul Songpa-gu
서울 강동구,Seoul Gangdong-gu
인천,Incheon
인천 남동구,Incheon Namdong-gu
인천 연수구,Incheon Yeonsu-gu
인천 미추홀구,Incheon Michuhol-gu
인천 동구,Incheon Dong-gu
인천 중구,Incheon Jung-gu
인천 서구,Incheon Seo-gu
인천 계양구,"Incheon Gyeyang-gu	"
인천 부평구,Incheon Bupyeong-gu
인천 옹진군,Incheon Ongjin-gun
인천 강화군,Incheon Ganghwa-gun
대전,Daejeon
대전 유성구,Daejeon Yuseong-gu
대전 대덕구,Daejeon Daedeok-gu
대전 서구,Daejeon Seo-gu
대전 중구,Daejeon Jung-gu
대전 동구,Daejeon Dong-gu
광주,Gwangju
광주 광산구,Gwangju Gwangsan-gu
광주 북구,Gwangju Buk-gu
광주 서구,Gwangju Seo-gu
광주 남구,Gwangju Nam-gu
광주 동구,Gwangju Dong-gu
대구,Daegu
대구 북구,Daegu Buk-gu
대구 동구,Daegu Dong-gu
대구 서구,Daegu Seo-gu
대구 중구,Daegu Jung-gu
대구 남구,Daegu Nam-gu
대구 수성구,Daegu Suseong-gu
대구 달서구,Daegu Dalseo-gu
대구 달성군,Daegu Dalseong-gun
울산,Ulsan
울산 중구,Ulsan Jung-gu
울산 남구,Ulsan Nam-gu
울산 동구,Ulsan Dong-gu
울산 북구,Ulsan Buk-gu
울산 울주군,Ulsan Ulju-gun
부산,Busan
부산 강서구,Busan Gangseo-gu
부산 사하구,Busan Gangseo-gu
부산 사상구,Busan Sasang-gu
부산 서구,Busan Seo-gu
부산 중구,Busan Jung-gu
부산 동구,Busan Dong-gu
부산 남구,Busan Nam-gu
부산 영도구,Busan Yeongdo-gu
부산 부산진구,Busan Busanjin-gu
부산 연제구,Busan Yeonje-gu
부산 수영구,Busan Suyeong-gu
부산 동래구,Busan Dongnae-gu
부산 북구,Busan Buk-gu
부산 금정구,Busan Geumjeong-gu
부산 해운대구,Busan Haeundae-gu
부산 기장군,Busan Gijang-gun
경기,Gyeonggi-do
강원,Gangwon-do
충북,Chungcheongbuk-do
충남,Chungcheongnam-do
전북,Jeollabuk-do
전남,Jeollanam-do
경북,Gyeongsangbuk-do
경남,Gyeongsangnam-do
세종,Sejong
제주,Jeju
