date,confirmed,confirmedsum
2021.11.08,15,15.0
2021.11.09,20,35.0
2021.11.10,35,70.0
2021.11.11,42,112.0
2021.11.12,29,141.0
2021.11.13,21,162.0
2021.11.14,22,184.0
2021.11.15,34,218.0
2021.11.16,60,278.0
2021.11.17,53,331.0
2021.11.18,53,384.0
2021.11.19,54,438.0
2021.11.20,22,460.0
2021.11.21,35,495.0
2021.11.22,42,537.0
2021.11.23,47,584.0
2021.11.24,39,623.0
2021.11.25,42,665.0
2021.11.26,53,718.0
2021.11.27,57,775.0
2021.11.28,38,813.0
2021.11.29,43,856.0
2021.11.30,70,926.0
2021.12.01,63,989.0
2021.12.02,83,1072.0
2021.12.03,92,1164.0
2021.12.04,57,1221.0
2021.12.05,65,1286.0
2021.12.06,85,1371.0
2021.12.07,106,1477.0
