city,province_code,city_code
Jongno-gu,11,010
Jung-gu,11,020
Yongsan-gu,11,030
Seongdong-gu,11,040
Gwangjin-gu,11,050
Dongdaemun-gu,11,060
Jungnang-gu,11,070
Seongbuk-gu,11,080
Gangbuk-gu,11,090
Dobong-gu,11,100
Nowon-gu,11,110
Eunpyeong-gu,11,120
Seodaemun-gu,11,130
Mapo-gu,11,140
Yangcheon-gu,11,150
Gangseo-gu,11,160
Guro-gu,11,170
Geumcheon-gu,11,180
Yeongdeungpo-gu,11,190
Dongjak-gu,11,200
Gwanak-gu,11,210
Seocho-gu,11,220
Gangnam-gu,11,230
Songpa-gu,11,240
Gangdong-gu,11,250
Jung-gu,21,010
Seo-gu,21,020
Dong-gu,21,030
Yeongdo-gu,21,040
Busanjin-gu,21,050
Dongnae-gu,21,060
Nam-gu,21,070
Buk-gu,21,080
Haeundae-gu,21,090
Saha-gu,21,100
Geumjeong-gu,21,110
Gangseo-gu,21,120
Yeonje-gu,21,130
Suyeong-gu,21,140
Sasang-gu,21,150
Gijang-gun,21,310
Jung-gu,22,010
Dong-gu,22,020
Seo-gu,22,030
Nam-gu,22,040
Buk-gu,22,050
Suseong-gu,22,060
Dalseo-gu,22,070
Dalseong-gun,22,310
Jung-gu,23,010
Dong-gu,23,020
Nam-gu,23,030
Yeonsu-gu,23,040
Namdong-gu,23,050
Bupyeong-gu,23,060
Gyeyang-gu,23,070
Seo-gu,23,080
Ganghwa-gun,23,310
Ongjin-gun,23,320
Dong-gu,24,010
Seo-gu,24,020
Nam-gu,24,030
Buk-gu,24,040
Gwangsan-gu,24,050
Dong-gu,25,010
Jung-gu,25,020
Seo-gu,25,030
Yuseong-gu,25,040
Daedeok-gu,25,050
Jung-gu,26,010
Nam-gu,26,020
Dong-gu,26,030
Buk-gu,26,040
Ulju-gun,26,310
Sejong-si,29,010
Suwon-si,31,011
Suwon-si,31,012
Suwon-si,31,013
Suwon-si,31,014
Seongnam-si,31,021
Seongnam-si,31,022
